"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Materials/M_Rock_Slate.M_Rock_Slate","0","21","10","1","29.206303","0","62"
"/Game/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","21","2","1","33.507614","0","72"
"/Game/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","21","10","1","32.576626","0","60"
"/Game/Materials/M_Rock.M_Rock","0","21","10","1","26.310242","0","68"
"/Game/Materials/M_Plains_Man_Statue.M_Plains_Man_Statue","0","21","3","1","23.895332","0","55"
"/Game/Materials/M_Plains_Castle_Demon.M_Plains_Castle_Demon","0","21","10","1","23.405764","0","59"
"/Game/Materials/M_Metal_Rust.M_Metal_Rust","0","21","10","1","23.448898","0","57"
"/Game/Materials/M_Metal_Gold.M_Metal_Gold","0","21","8","1","23.396391","0","58"
"/Game/Materials/M_Metal_Copper.M_Metal_Copper","0","21","9","1","22.373011","0","61"
"/Game/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","21","10","1","23.866911","0","53"
"/Game/Materials/M_AssetPlatform.M_AssetPlatform","0","21","9","1","22.331247","0","61"
"/Game/Materials/M_Basic_Floor.M_Basic_Floor","0","21","2","1","22.838694","0","63"
"/Game/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","0","21","10","1","26.797247","0","55"
"/Game/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","21","10","1","26.139799","0","62"
"/Game/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","21","10","1","25.442064","0","62"
"/Game/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","21","10","1","26.963993","0","62"
"/Game/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","21","10","1","25.004177","0","62"
"/Game/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","21","9","1","38.776161","0","77"
"/Game/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","21","6","1","33.280785","0","72"
"/Game/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","21","10","1","28.346525","0","62"
"/Game/Materials/M_Concrete_Panels.M_Concrete_Panels","0","21","10","1","30.933748","0","53"
"/Game/Materials/M_Concrete_Poured.M_Concrete_Poured","0","21","10","1","31.548197","0","59"
"/Game/Materials/M_Glass.M_Glass","0","42","6","1","214.586960","0","183"
"/Game/Materials/M_Ground_Grass.M_Ground_Grass","0","21","7","1","30.433065","0","77"
"/Game/Materials/M_Ground_Gravel.M_Ground_Gravel","0","21","8","1","33.074341","0","53"
"/Game/Materials/M_Ground_Moss.M_Ground_Moss","0","21","9","1","24.980120","0","61"
"/Game/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","21","1","1","26.286751","0","53"
